STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
624,3537271,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y,
633,3384314,15800,110-Cty TNHH 1TV Tri Hoi,,Y,
638,3437745,15506,111-Cty Bot giat LIX-NR,,Y,
640,3437748,15506,111-Cty Bot giat LIX-NR,,Y,
641,3437749,15506,111-Cty Bot giat LIX-NR,,Y,
642,3437750,15506,111-Cty Bot giat LIX-NR,X,N,
673,3525067,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
674,3525068,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
675,3525069,21076,110-Cong Ty TNHH SALACOS -NR,,Y,
676,3525114,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,X,N,
677,3525115,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y,
678,3525116,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y,
680,3527979,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y,
681,3527980,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y,
694,3282513,15506,111-Cty Bot giat LIX-NR,,Y,
696,3282735,16760,110-Cua Hang Hue Lam,,Y,
697,3282736,16760,110-Cua Hang Hue Lam,,Y,
698,3282737,16760,110-Cua Hang Hue Lam,,Y,
706,3466392,15790,110-CTy CP HMP My Hao,X,N,
707,3467305,15790,110-CTy CP HMP My Hao,X,N,
711,3217101,15506,111-Cty Bot giat LIX-NR,,Y,
712,3217105,15506,111-Cty Bot giat LIX-NR,,Y,
716,3110820,15790,110-CTy CP HMP My Hao,,Y,
717,3110821,15790,110-CTy CP HMP My Hao,,Y,
724,3463138,15790,110-CTy CP HMP My Hao,X,N,
725,3463139,15790,110-CTy CP HMP My Hao,X,N,
726,3463140,15790,110-CTy CP HMP My Hao,X,N,
727,3463141,15790,110-CTy CP HMP My Hao,X,N,
728,3463142,15790,110-CTy CP HMP My Hao,X,N,
729,3463143,15790,110-CTy CP HMP My Hao,X,N,
730,3463144,15790,110-CTy CP HMP My Hao,X,N,
731,3463145,15790,110-CTy CP HMP My Hao,X,N,
746,3422432,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y,
756,3007093,15790,110-CTy CP HMP My Hao,,Y,
772,3296686,15506,111-Cty Bot giat LIX-NR,X,N,
780,3343735,15506,111-Cty Bot giat LIX-NR,,Y,
785,3545291,16760,110-Cua Hang Hue Lam,,Y,
806,3537640,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,,Y,
817,3538788,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y,
818,3538789,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y,
821,3540979,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y,
822,3540980,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y,
831,3541456,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
832,3541457,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
833,3541458,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
834,3541461,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
835,3541462,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
