ITEM,VENDOR,DESCR,NOTE,NH
3496756,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3132145,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3132228,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3173260,11841,130-Cty TNHH Saigon Ve Wong,PKD - G?1,2
3385771,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3386499,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386500,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386501,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386502,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386503,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386504,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386505,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386506,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386507,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386508,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3386509,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3491227,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3491953,15800,110-Cty TNHH 1TV Tri Hoi,PKD - G?1,3
3008485,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3430007,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3520753,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3005069,11266,110-Cty CP Tap Doan Muoi Mien Nam,PKD - G?1,2
3005070,11266,110-Cty CP Tap Doan Muoi Mien Nam,PKD - G?1,2
3005073,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3005075,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3005077,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3225551,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3295021,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3295023,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3295195,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3295196,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3295197,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3295198,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3295199,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3295200,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3295355,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3295614,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,HNR - G?1,2
3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,HNR - G?1,2
3453969,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3412002,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3497612,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3497823,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3505767,19219,130-Cty TNHH Nabati Viet Nam,PKD - G?1,2
3403438,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,HNR - G?1,3
3459960,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3556029,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3490336,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3050100,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,PKD - G?1,2
3054513,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054515,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054516,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054518,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054519,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054520,14337,130-Cty TNHH VINH TIEN,PKD - G?1,2
3054535,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
3054635,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3054651,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3055152,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3055153,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3055154,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3055204,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3257943,16760,110-Cua Hang Hue Lam,PKD - G?1,3
3257947,16760,110-Cua Hang Hue Lam,PKD - G?1,3
3257948,16760,110-Cua Hang Hue Lam,PKD - G?1,3
3258064,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3260451,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3260454,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3314153,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3314154,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3314547,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3357483,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3097779,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
3327143,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3327144,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3123559,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3382940,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3382941,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3383606,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3383607,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3383608,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3383609,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,HNR - G?1,4
3488561,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3488562,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3488563,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3489126,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3489128,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3012794,12989,100-CTY TNHH SAMRAN,PKD - G?1,4
3031987,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3031988,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3031989,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3032106,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3250058,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3250059,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3253175,12989,100-CTY TNHH SAMRAN,PKD - G?1,4
3253189,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3284516,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3284683,19219,130-Cty TNHH Nabati Viet Nam,PKD - G?1,2
3285331,15800,110-Cty TNHH 1TV Tri Hoi,PKD - G?1,3
3457912,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3457913,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3457914,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3457915,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3008472,14653,110-DNTN Dai Phat,PKD - G?1,3
3008478,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3008479,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3008481,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3008482,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3008486,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3008490,12483,110-Cty TNHH SXTM TyTy(HMP),PKD - G?1,3
3279756,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3279757,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3325237,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3325998,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
3441648,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3442428,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3442429,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3442481,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3442900,19939,100-Cty TNHH Muoi Thanh Phat-NR,HNR - G?1,2
3444318,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,HNR - G?1,4
3444795,15512,100-Cty CP Uniben-NR,HNR - G?1,2
3444798,12532,100-Cty CP CNTP Luong Gia-NR,HNR - G?1,2
3444807,12532,100-Cty CP CNTP Luong Gia-NR,HNR - G?1,2
3350607,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3350608,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3449108,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,HNR - G?1,3
3449943,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3138983,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3140316,14530,110-Co so Nguyen Van Sau,PKD - G?1,3
3143098,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3181800,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3389078,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3493317,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3493318,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3493351,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3493352,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3390753,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3390754,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3390755,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3390935,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3390942,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3390945,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3481810,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3493891,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,HNR - G?1,3
3493892,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,HNR - G?1,3
3494100,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3494101,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3494102,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3494103,13468,100-CTY TNHH SAMRAN-NR,HNR - G?1,4
3525066,21076,110-Cong Ty TNHH SALACOS -NR,HNR - G?1,3
3422584,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3392947,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3282741,16760,110-Cua Hang Hue Lam,PKD - G?1,3
3449947,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3555039,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3535758,21076,110-Cong Ty TNHH SALACOS -NR,HNR - G?1,3
3134265,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3137587,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3137588,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3137589,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3387567,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3387568,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3387569,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3387857,19028,110-Cty CP Vinamit-NR,HNR - G?1,2
3387928,12547,131-Cty CP Uniben,PKD - G?1,2
3479552,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3479885,19219,130-Cty TNHH Nabati Viet Nam,PKD - G?1,2
3492416,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3434401,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3434402,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3434403,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3434405,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,HNR - G?1,3
3515341,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,HNR - G?1,3
3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,HNR - G?1,3
3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,HNR - G?1,3
3515394,20812,100-Cty CP TP ThNhien King Green-NR,HNR - G?1,2
3515395,20812,100-Cty CP TP ThNhien King Green-NR,HNR - G?1,2
3515856,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3419926,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3431913,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3431914,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3431961,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3432384,12547,131-Cty CP Uniben,PKD - G?1,2
3432386,12547,131-Cty CP Uniben,PKD - G?1,2
3513552,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,PKD - G?1,3
3513553,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,PKD - G?1,3
3513554,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,PKD - G?1,3
3513555,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,PKD - G?1,3
3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3523181,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3523363,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3523364,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3523365,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,HNR - G?1,4
3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,HNR - G?1,4
3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,HNR - G?1,4
3430767,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3430768,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3430769,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3430952,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,PKD - G?1,2
3431039,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3431040,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3440244,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3440249,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3440252,12320,111-Cty TNHH MTV TNI,PKD - G?1,2
3440906,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3440951,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3440952,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3440953,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3440955,17259,100-Cty TNHH Le Trung Thien-NR,HNR - G?1,2
3512339,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3521071,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3521072,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3521073,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3521074,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,HNR - G?1,3
3521651,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
