STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,BAN CHAM,N,
266,3350607,16964,100-CTy TNHH Tan Hop Thanh,BAN CHAM,N,
267,3350608,16964,100-CTy TNHH Tan Hop Thanh,BAN CHAM,N,
269,3449943,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
300,3449947,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
307,3387567,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
308,3387568,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
309,3387569,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
356,3440906,16964,100-CTy TNHH Tan Hop Thanh,BAN CHAM,N,
398,3374925,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
399,3374926,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
400,3374927,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
444,3372352,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
467,3433469,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
492,3311748,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
538,3364612,16964,100-CTy TNHH Tan Hop Thanh,BAN CHAM,N,
543,3406659,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
658,3352971,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
659,3352974,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
704,3378042,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
718,3336962,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
719,3336963,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
751,3542948,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
752,3542951,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
760,3298487,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
761,3298488,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
762,3298489,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
776,3343026,16964,100-CTy TNHH Tan Hop Thanh,MA C,N,
777,3343029,16964,100-CTy TNHH Tan Hop Thanh,KHONG KD,N,
778,3343030,16964,100-CTy TNHH Tan Hop Thanh,LCC,N,
779,3343031,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
782,3344291,16964,100-CTy TNHH Tan Hop Thanh,KDBT,Y,
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,KDBT,Y,
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,KDBT,Y,
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,KDBT,Y,
273,3181800,13979,100-CTy TNHH Thuong Mai L.H,KDBT,Y,
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
