STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
817,3538788,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
818,3538789,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
821,3540979,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Ngung kinh doanh,N
822,3540980,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Ngung kinh doanh,N
831,3541456,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
832,3541457,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
833,3541458,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
834,3541461,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
835,3541462,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
843,3196362,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
844,3196363,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
845,3196365,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
846,3196368,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
847,3196370,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
854,3408174,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
855,3408176,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
858,3503165,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
861,3503301,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
862,3503302,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
863,3503303,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
71,3317725,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
75,3416065,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
76,3416066,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
77,3416071,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
160,3005073,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
161,3005075,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
162,3005077,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
172,3295355,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
206,3258064,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
227,3489126,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
478,3524289,10023,111-Cty Ajinomoto Bien Hoa ,Ngung Kinh Doanh,N
499,3356234,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
512,3192836,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
519,3286741,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
603,3532867,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
616,3536326,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
625,3126487,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
695,3282731,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
708,3467853,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
709,3214107,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
710,3216135,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
721,3377186,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
736,3401492,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
737,3401493,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
738,3401494,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
757,3290133,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
758,3290134,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
766,3345933,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
768,3229501,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
769,3231570,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
859,3503221,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
51,3427995,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
52,3427998,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
92,3102394,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
93,3102395,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
132,3348492,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
176,3453969,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
228,3489128,11119,110-Cty TNHH Lotte Viet Nam,Ngung Kinh Doanh,N
272,3143098,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
314,3492416,11119,110-Cty TNHH Lotte Viet Nam,Ngung Kinh Doanh,N
361,3512339,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
369,3521651,11119,110-Cty TNHH Lotte Viet Nam,Ngung Kinh Doanh,N
370,3521652,11119,110-Cty TNHH Lotte Viet Nam,Ngung Kinh Doanh,N
394,3110011,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
395,3110012,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
401,3460189,11119,110-Cty TNHH Lotte Viet Nam,Ngung Kinh Doanh,N
432,3224617,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
477,3524202,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
510,3150386,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
526,3365210,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
527,3365211,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
530,3276842,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
531,3276843,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
599,3318852,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
602,3361960,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
660,3352990,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
720,3337528,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
735,3400708,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
786,3545693,11119,110-Cty TNHH Lotte Viet Nam,Ngung Kinh Doanh,N
796,3201689,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
797,3205668,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
851,3199550,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
