STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,,,
61,3055280,12989,100-CTY TNHH SAMRAN,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
70,3063378,12015,130-CTY TNHH TM&CBTP Tien Du,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
71,3317725,10023,111-Cty Ajinomoto Bien Hoa ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
72,3318296,16964,100-CTy TNHH Tan Hop Thanh,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
73,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
74,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
75,3416065,10023,111-Cty Ajinomoto Bien Hoa ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
76,3416066,10023,111-Cty Ajinomoto Bien Hoa ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
77,3416071,10023,111-Cty Ajinomoto Bien Hoa ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
78,3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
79,3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
81,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
82,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
83,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
92,3102394,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
93,3102395,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
96,3103653,15348,130-CTY CP SX Tra Hung Phat,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
97,3103654,15348,130-CTY CP SX Tra Hung Phat,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
99,3284188,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
100,3284196,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
101,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
106,3368786,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
