STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,,
669,3454994,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y,,
671,3454996,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y,,
672,3454997,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y,,
670,3454995,17639,100-Cty TNHH Eikodo Viet Nam-NR,,Y,,
542,3455948,17666,100-Cty CP SXTM Tai Tai-NR,Ngung kd,N,,
169,3295198,19028,110-Cty CP Vinamit-NR,Ngung kd,N,,
171,3295200,19028,110-Cty CP Vinamit-NR,Ngung kd,N,,
310,3387857,19028,110-Cty CP Vinamit-NR,  Bo 5 khansoc Coop Select40x75  ( Sai ma )                      ,Y,,
284,3390935,19028,110-Cty CP Vinamit-NR,Ngung kd,N,,
168,3295197,19028,110-Cty CP Vinamit-NR,,Y,,
170,3295199,19028,110-Cty CP Vinamit-NR,,Y,,
167,3295196,19028,110-Cty CP Vinamit-NR,,Y,,
166,3295195,19028,110-Cty CP Vinamit-NR,,Y,,
601,3360436,19219,130-Cty TNHH Nabati Viet Nam,"Hang TV Tet, Ko KD",N,,
313,3479885,19219,130-Cty TNHH Nabati Viet Nam,"Ma C, ngung kd",N,,
433,3495074,19219,130-Cty TNHH Nabati Viet Nam,"Ma C, ngung kd",N,,
180,3505767,19219,130-Cty TNHH Nabati Viet Nam,Sai ma,Y,,
451,3529243,19219,130-Cty TNHH Nabati Viet Nam,Ngung kd,N,,
452,3529244,19219,130-Cty TNHH Nabati Viet Nam,Ngung kd,N,,
453,3529245,19219,130-Cty TNHH Nabati Viet Nam,Ngung kd,N,,
454,3529246,19219,130-Cty TNHH Nabati Viet Nam,"Ma C, ngung kd",N,,
455,3529247,19219,130-Cty TNHH Nabati Viet Nam,"Ma C, ngung kd",N,,
808,3538108,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
634,3384346,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
853,3408152,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
460,3530491,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
635,3384347,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
239,3284683,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
456,3529248,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
657,3352387,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
446,3373113,19219,130-Cty TNHH Nabati Viet Nam,,Y,,
501,3459106,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y,,
175,3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y,,
773,3341299,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y,,
260,3442900,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y,,
174,3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,,Y,,
703,3113222,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
78,3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
350,3430952,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
