STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
126,3545292,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,khong KD,N
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,khong KD,N
132,3348492,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
136,3496755,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
137,3496756,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
138,3132145,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
139,3132228,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
140,3173260,11841,130-Cty TNHH Saigon Ve Wong,Dang kinh doanh,Y
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
142,3386499,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
143,3386500,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
144,3386501,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
145,3386502,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
146,3386503,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
147,3386504,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
148,3386505,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
149,3386506,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
150,3386507,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
151,3386508,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
152,3386509,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
153,3491227,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
154,3491953,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
155,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
158,3005069,11266,110-Cty CP Tap Doan Muoi Mien Nam,Dang kinh doanh,Y
159,3005070,11266,110-Cty CP Tap Doan Muoi Mien Nam,Dang kinh doanh,Y
160,3005073,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
161,3005075,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
162,3005077,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
163,3225551,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
166,3295195,19028,110-Cty CP Vinamit-NR,Ngung kinh doanh,N
167,3295196,19028,110-Cty CP Vinamit-NR,Ngung kinh doanh,N
168,3295197,19028,110-Cty CP Vinamit-NR,Ngung kinh doanh,N
169,3295198,19028,110-Cty CP Vinamit-NR,Ngung kinh doanh,N
170,3295199,19028,110-Cty CP Vinamit-NR,Ngung kinh doanh,N
171,3295200,19028,110-Cty CP Vinamit-NR,Ngung kinh doanh,N
172,3295355,10023,111-Cty Ajinomoto Bien Hoa ,Dang kinh doanh,Y
173,3295614,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
174,3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,Dang kinh doanh,Y
175,3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,Dang kinh doanh,Y
176,3453969,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,khong KD,N
179,3497823,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
180,3505767,19219,130-Cty TNHH Nabati Viet Nam,Dang kinh doanh,Y
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
184,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
188,3050100,14337,130-Cty TNHH VINH TIEN,Dang kinh doanh,Y
189,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,Ngung kinh doanh,N
190,3054513,14337,130-Cty TNHH VINH TIEN,Dang kinh doanh,Y
191,3054515,14337,130-Cty TNHH VINH TIEN,Dang kinh doanh,Y
192,3054516,14337,130-Cty TNHH VINH TIEN,Ngung kinh doanh,N
193,3054518,14337,130-Cty TNHH VINH TIEN,Ngung kinh doanh,N
