ITEM,VENDOR,STATUS
3555041,11773,Y
3448563,11773,Y
3555042,11773,Y
3546767,11773,Y
3555040,11773,Y
3503276,11773,N
3503277,11773,N
3419131,11773,Y
3422582,11773,Y
3490338,11773,N
3312781,11773,Y
3342478,11773,Y
3550806,15208,Y
3065101,11773,Y
3065131,11773,N
3533214,11773,Y
3533215,11773,Y
3534020,15208,Y
3535084,15208,Y
3535595,11773,Y
3535596,11773,Y
3535608,15208,Y
3536397,11773,Y
3536398,11773,Y
3536399,11773,Y
3536400,11773,Y
3536484,15208,Y
3536485,15208,Y
3536486,15208,Y
3168725,11773,N
3168726,11773,N
3168727,11773,Y
3168728,11773,N
3168729,11773,Y
3168730,11773,Y
3168732,11773,N
3490335,11773,N
3490337,11773,N
3518674,15208,Y
3518677,15208,Y
3518681,11773,N
3518682,11773,Y
3518688,11773,Y
3519231,11773,Y
3519232,11773,Y
3557778,15208,Y
3307987,12989,Y
3352971,16964,Y
3352974,16964,Y
3450259,11773,N
3450271,11773,Y
3362388,11773,Y
3011821,11773,Y
3011822,11773,Y
3012259,11773,Y
3012260,11773,Y
3012311,11773,Y
3246587,12989,N
3281313,11773,Y
3281318,11773,N
3281320,11773,N
3281321,11773,Y
3281511,11773,Y
3282933,11773,N
3328714,11773,Y
3509253,11773,N
3378042,16964,N
3217698,11777,Y
3336962,16964,N
3336963,16964,N
3460722,11773,Y
3460723,11773,N
3400317,11773,N
3400318,11773,N
3400319,11773,N
3413586,11773,Y
3422249,11773,Y
3422251,11773,Y
3422252,11773,Y
3422259,11773,N
3422473,11773,N
3422474,11773,N
3422581,11773,Y
3422583,11773,Y
3542948,16964,Y
3542951,16964,Y
3543334,15208,Y
3543871,11773,Y
3543872,11773,Y
3298487,16964,Y
3298488,16964,Y
3298489,16964,Y
3300069,12989,Y
3300070,11773,Y
3300071,11773,Y
3342477,11773,Y
3342479,11773,N
3343026,16964,N
3343029,16964,Y
3343030,16964,Y
3343031,16964,Y
3344279,11773,N
3344291,16964,Y
3544249,11773,Y
3545124,11773,Y
3546388,11773,Y
3546389,11773,Y
3546390,11773,Y
3546391,11773,Y
3547498,11773,Y
3547499,11773,Y
3547500,11773,Y
3547501,11773,Y
3548190,11773,Y
3409368,11773,N
3409369,11773,Y
3419129,11773,N
3419602,11773,Y
3419603,11773,Y
3419605,11773,Y
3504123,15208,N
3504124,15208,N
3537715,15208,Y
3538420,15208,Y
3538565,11773,Y
3538566,11773,Y
3538567,11773,Y
3538568,11773,Y
3538569,11773,Y
3538570,11773,Y
3538571,11773,Y
3538908,15208,Y
3540798,20888,Y
3541385,11773,Y
3541386,11773,Y
3541387,11773,Y
3541388,11773,Y
3541389,11773,Y
3541390,11773,Y
3541391,11773,Y
3541392,11773,Y
3541467,15208,N
3541546,11773,Y
3541547,11773,Y
3541924,11773,Y
3541939,11773,Y
3541940,11773,Y
3541941,11773,Y
3407767,11773,Y
