STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
5091,Trung chuyen Vinh Loc B-509,Binh Duong,170616,N,S
5101,Trung chuyen Do Van Day-510,Binh Duong,170616,N,S
5111,Trung chuyen Hiep Thanh-511,Binh Duong,170616,N,S
5171,Trung chuyen Sa Dec-517,Binh Duong,170616,N,S
5181,Trung chuyen Go Cong-518,Binh Duong,170616,N,S
5191,Trung chuyen Thot Not-519,Binh Duong,170616,N,S
1874,KSD-CF Can Tho-Mau Than,Can Tho,170619,N,S
804,Kho Ve Tinh Binh Duong,"TX Di An,Binh Duong",170620,N,W
8041,Kho TC Ve Tinh Binh Duong,"TX Di An,Binh Duong",170620,N,S
8042,Kho TC Ve Tinh Binh Duong PPTT,"TX Di An,Binh Duong",170620,N,S
647,CH Co.opFood Conic Sky,HCM,170624,Y,S
648,CH Co.opFood Tam Binh,HCM,170624,Y,S
6471,TC CH Co.opFood Conic Sky-100,Binh Duong,170624,N,S
6481,TC CH Co.opFood Tam Binh-100,Binh Duong,170624,N,S
523,Co.opMart Buon Ho,Dak Lak,170627,Y,S
5231,Trung chuyen Buon Ho-523,Binh Duong,170627,N,S
1875,KSD-CF CanTho-Tran Quang Dieu,Can Tho,170704,N,S
649,NKD-CH Co.opFood Phong Phu,"Binh Chanh,HCM",170704,N,S
650,NKD-CH Co.opFood Tan Tru,HCM,170704,N,S
6491,TC CH Co.opFood Phong Phu-100,Binh Duong,170704,N,S
6501,TC CH Co.opFood Tan Tru-100,Binh Duong,170704,N,S
651,NKD-CH Co.opFood Cho Thu Duc,HCM,170718,N,S
6511,TC CH Co.opFood Cho ThuDuc-100,Binh Duong,170718,N,S
305,Co-opXtra Su Van Hanh,HCM,170721,Y,S
69016,CH NQ Duong Quang Ham,HCM,170725,Y,S
524,Co.opMart Dong Van Cong,HCM,170801,Y,S
5241,Trung chuyen Dong Van Cong-524,Binh Duong,170801,N,S
652,CH Co.opFood Linh Chieu,HCM,170809,Y,S
6521,TC CH Co.opFood Linh Chieu-100,Binh Duong,170809,N,S
1313,NKD-CF Vung Tau 30/4,Ba Ria Vung Tau,160811,N,S
805,TTPP Saigonco.op-Kho hang U&I,Binh Duong,170811,N,W
653,CH Co.opFood Bui The My 31,HCM,170815,Y,S
654,CH Co.opFood Krista,HCM,170815,Y,S
655,CH Co.opFood Lang Tang Phu,HCM,170815,Y,S
656,CH Co.opFood Gia Phu,HCM,170815,Y,S
657,CH Co.opFood Vanh Dai,HCM,170815,Y,S
658,CH Co.opFood Man Thien 280,HCM,170815,Y,S
659,CH Co.opFood Linh Dong,HCM,170815,Y,S
6531,TC CH Co.opFood Bui The My 31,Binh Duong,170815,N,S
6541,TC CH Co.opFood Krista-100,Binh Duong,170815,N,S
6551,TC CH Co.opFood Lang Tang Phu,Binh Duong,170815,N,S
6561,TC CH Co.opFood Gia Phu-100,Binh Duong,170815,N,S
6571,TC CH Co.opFood Vanh Dai-100,Binh Duong,170815,N,S
6581,TC CH Co.opFood Man Thien 280,Binh Duong,170815,N,S
6591,TC CH Co.opFood Linh Dong,Binh Duong,170815,N,S
661,CH Co.opFood Dinh Bo Linh 81,HCM,170901,Y,S
662,NKD-CH Co.opFood Vinh Loc B,HCM,170901,N,S
663,KSD-CH CoopFood LeDinhCan 191A,HCM,170901,N,S
664,NKD-CH CFood Tinh Lo 10-1226,HCM,170901,N,S
665,CH Co.opFood Tinh Lo 15-1031,HCM,170901,Y,S
666,NKD-CH Co.opFood 29 Duong 457,HCM,170901,N,S
667,NKD-CH Co.opFood Thach Lam 177,HCM,170901,N,S
668,NKD-CH CoopFood Huong Lo 2-515,"Q.Binh Tan, HCM",170901,N,S
669,CH Co.opFood Phuoc Kien,HCM,170901,Y,S
670,NKD-CH CFood Au Duong Lan-299,HCM,170901,N,S
671,CH Co.opFood Quoc Lo 22-726,HCM,170901,Y,S
672,NKD-CH Co.opFood Tan Thong Hoi,HCM,170901,N,S
6611,TC CH CF Dinh Bo Linh 81,Binh Duong,170901,N,S
6621,TC CH Co.opFood Vinh Loc B,Binh Duong,170901,N,S
6631,TC CH CF Le Dinh Can 191A,Binh Duong,170901,N,S
6641,TC CH CF Tinh Lo 10-1226,Binh Duong,170901,N,S
6651,TC CH CF Tinh Lo 15-1031,Binh Duong,170901,N,S
6661,TC CH Co.opFood 29 Duong 457,Binh Duong,170901,N,S
6671,TC CH Co.opFood Thach Lam 177,Binh Duong,170901,N,S
6681,TC CH Co.opFood Huong Lo 2-515,Binh Duong,170901,N,S
6691,TC CH Co.opFood Phuoc Kien,Binh Duong,170901,N,S
6701,TC CH CF Au Duong Lan-299,Binh Duong,170901,N,S
6711,TC CH Co.opFood Quoc Lo 22-726,Binh Duong,170901,N,S
6721,TC CH Co.opFood Tan Thong Hoi,Binh Duong,170901,N,S
69017,CH NQ Pham Viet Chanh,HCM,170918,Y,S
8051,TTPP-U&I (KM),Binh Duong,170919,N,S
525,Co.opMart Nam Dinh,Nam Dinh,170927,Y,S
526,Co.opMart Tan Chau,Tay Ninh,170927,Y,S
527,Co.opMart Chu Se,"H.Chu Se,Gia Lai",170927,Y,S
5251,Trung chuyen Nam Dinh-525,Binh Duong,170927,N,S
5261,Trung chuyen Tan Chau-526,Binh Duong,170927,N,S
5271,Trung chuyen Chu Se-527,Binh Duong,170927,N,S
673,NKD-CH CFood Duong Dinh Hoi 64,HCM,171004,N,S
674,CH Co.opFood Man Thien 126A,HCM,171004,Y,S
6731,TC CH CFood Duong Dinh Hoi 64,Binh Duong,171004,N,S
6741,TC CH Co.opFood Man Thien 126A,Binh Duong,171004,N,S
69018,NKD-CH NQ Nguyen Bieu,HCM,171004,N,S
1314,CF Vung Tau Phoenix,BRVT,171013,Y,S
675,NKD-CH CFood Dinh Phong Phu 37,"Q9, TP.HCM",171016,N,S
6751,TC CH CFood Dinh Phong Phu 37,Binh Duong,171016,N,S
528,Co.opMart Kon Tum,"TP.Kon Tum,Kon Tum",171017,Y,S
